question_id,construction_name,construction_formula,level,category,function,n_selecting,n_annotators,endorsement_rate
79,VeryTimePlusAdverb,very ADV.TIME,A1,ADVERBS,Situating events in time,2,2,1.0
79,VeryTimePlusAdverb,very ADV.TIME,A1,ADVERBS,Situating events or entities,2,2,1.0
79,VeryTimePlusAdverb,very ADV.TIME,A1,ADVERBS,Expressing degree,1,2,0.5
80,WordAndWord,WORD and WORD,A1,CONJUNCTIONS,Framing or linking information,2,2,1.0
80,WordAndWord,WORD and WORD,A1,CONJUNCTIONS,Sequencing events,1,2,0.5
80,WordAndWord,WORD and WORD,A1,CONJUNCTIONS,Situating events or entities,1,2,0.5
80,WordAndWord,WORD and WORD,A1,CONJUNCTIONS,Situating entities in space,1,2,0.5
80,WordAndWord,WORD and WORD,A1,CONJUNCTIONS,Situating events in time,1,2,0.5
81,YesNoQuestionPlusModalVerb,V.MODAL SUBJ V,A1,QUESTIONS,Asking for information,2,2,1.0
81,YesNoQuestionPlusModalVerb,V.MODAL SUBJ V,A1,QUESTIONS,Requesting,2,2,1.0
82,AdjectiveButAdjective,ADJ but ADJ,A2,ADJECTIVES,Describing,2,2,1.0
82,AdjectiveButAdjective,ADJ but ADJ,A2,ADJECTIVES,Making statements,2,2,1.0
82,AdjectiveButAdjective,ADJ but ADJ,A2,ADJECTIVES,Expressing contrast,2,2,1.0
